"Pokedex Number","Pokemon Name","Classification","Legendary Type","Height","Weight","Primary Type","Secondary Type","Primary Ability","Primary Ability Description","Secondary Ability","Secondary Ability Description","Hidden Ability","Hidden Ability Description","Male Ratio","Female Ratio","Games of Origin","Health EV","Attack EV","Defense EV","Special Attack EV","Special Defense EV","Speed EV","Catch Rate","Experience Growth Name","Experience Growth Total","Experience Yield","Base Happiness","Health Base Stat","Attack Base Stat","Defense Base Stat","Special Attack Base Stat","Special Defense Base Stat","Speed Base Stat","Primary Egg Group","Secondary Egg Group","Cycle Count","Pre-Evolution Pokedex Number","Evolution Method","Evolution Details","Original Pokemon","Form Name"
"141","Kabutops","Shellfish Pokemon","","1.30","40.50","Rock","Water","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Battle Armor","Hard armor protects the Pokemon from critical hits.","Weak Armor","Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.","87.5","12.5","Red / Blue / Yellow","0","2","0","0","0","0","45","Medium Fast","1000000","173","70","60","115","105","65","70","80","Water 1","Water 3","30","140","Level Up","Level 40","",""
"226","Mantine","Kite Pokemon","","2.10","220.00","Water","Flying","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","50","50","Gold / Silver / Crystal","0","0","0","0","2","0","25","Slow","1250000","170","70","85","40","70","80","140","70","Water 1","","25","458","Level Up","With Remoraid In The Party","",""
"458","Mantyke","Kite Pokemon","","1.00","65.00","Water","Flying","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","50","50","Diamond / Pearl","0","0","0","0","1","0","25","Slow","1250000","69","70","45","20","50","60","120","50","Undiscovered","","25","","","","",""
"535","Tympole","Tadpole Pokemon","",".50","4.50","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Hydration","Heals status conditions if it's raining.","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","50","50","Black / White","0","0","0","0","0","1","255","Medium Slow","1059860","59","70","50","50","40","50","40","64","Water 1","","20","","","","",""
"536","Palpitoad","Vibration Pokemon","",".80","17.00","Water","Ground","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Hydration","Heals status conditions if it's raining.","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","50","50","Black / White","2","0","0","0","0","0","120","Medium Slow","1059860","134","70","75","65","55","65","55","69","Water 1","","20","535","Level Up","Level 25","",""
"138","Omanyte","Spiral Pokemon","",".40","7.50","Rock","Water","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Shell Armor","A hard shell protects the Pokemon from critical hits.","Weak Armor","Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.","87.5","12.5","Red / Blue / Yellow","0","0","1","0","0","0","45","Medium Fast","1000000","71","70","35","40","100","90","55","35","Water 1","Water 3","30","","","","",""
"139","Omastar","Spiral Pokemon","","1.00","35.00","Rock","Water","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Shell Armor","A hard shell protects the Pokemon from critical hits.","Weak Armor","Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.","87.5","12.5","Red / Blue / Yellow","0","0","2","0","0","0","45","Medium Fast","1000000","173","70","70","60","125","115","70","55","Water 1","Water 3","30","138","Level Up","Level 40","",""
"369","Relicanth","Longevity Pokemon","","1.00","23.40","Water","Rock","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Rock Head","Protects the Pokemon from recoil damage.","Sturdy","It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.","87.5","12.5","Ruby / Sapphire","1","0","1","0","0","0","25","Slow","1250000","170","70","100","90","130","45","65","55","Water 1","Water 2","40","","","","",""
"349","Feebas","Fish Pokemon","",".60","7.40","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Oblivious","The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.","Adaptability","Powers up moves of the same type as the Pokemon.","50","50","Ruby / Sapphire","0","0","0","0","0","1","255","Erratic","600000","40","70","20","15","20","10","55","80","Water 1","Dragon","20","","","","",""
"537","Seismitoad","Vibration Pokemon","","1.50","62.00","Water","Ground","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Poison Touch","May poison a target when the Pokemon makes contact.","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","50","50","Black / White","3","0","0","0","0","0","45","Medium Slow","1059860","229","70","105","95","75","85","75","74","Water 1","","20","536","Level Up","Level 36","",""
"116","Horsea","Dragon Pokemon","",".40","8.00","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Sniper","Powers up moves if they become critical hits when attacking.","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","50","50","Red / Blue / Yellow","0","0","0","1","0","0","225","Medium Fast","1000000","59","70","30","40","70","70","25","60","Water 1","Dragon","20","","","","",""
"230","Kingdra","Dragon Pokemon","","1.80","152.00","Water","Dragon","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Sniper","Powers up moves if they become critical hits when attacking.","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","50","50","Gold / Silver / Crystal","0","1","0","1","1","0","45","Medium Fast","1000000","243","70","75","95","95","95","95","85","Water 1","Dragon","20","117","Trade","Dragon Scale","",""
"456","Finneon","Wing Fish Pokemon","",".40","7.00","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Storm Drain","Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","50","50","Diamond / Pearl","0","0","0","0","0","1","190","Erratic","600000","66","70","49","49","56","49","61","66","Water 2","","20","","","","",""
"457","Lumineon","Neon Pokemon","","1.20","24.00","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Storm Drain","Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","50","50","Diamond / Pearl","0","0","0","0","0","2","75","Erratic","600000","161","70","69","69","76","69","86","91","Water 2","","20","456","Level Up","Level 31","",""
"118","Goldeen","Goldfish Pokemon","",".60","15.00","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","50","50","Red / Blue / Yellow","0","1","0","0","0","0","225","Medium Fast","1000000","64","70","45","67","60","35","50","63","Water 2","","20","","","","",""
"119","Seaking","Goldfish Pokemon","","1.30","39.00","Water","","Swift Swim","Boosts the Pokemon's Speed stat in rain.","Water Veil","The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","50","50","Red / Blue / Yellow","0","2","0","0","0","0","60","Medium Fast","1000000","158","70","80","92","65","65","80","68","Water 2","","20","118","Level Up","Level 33","",""
"254-1","Sceptile","Forest Pokemon","","1.90","55.20","Grass","Dragon","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","","","","","87.5","12.5","Omega Ruby / Alpha Sapphire","0","0","0","0","0","3","45","Medium Slow","1059860","284","70","70","110","75","145","85","145","Monster","Dragon","20","","","","254","Mega Evolution"
"111","Rhyhorn","Spikes Pokemon","","1.00","115.00","Ground","Rock","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Rock Head","Protects the Pokemon from recoil damage.","Reckless","Powers up moves that have recoil damage.","50","50","Red / Blue / Yellow","0","0","1","0","0","0","120","Slow","1250000","69","70","80","85","95","30","30","25","Monster","Field","20","","","","",""
"112","Rhydon","Drill Pokemon","","1.90","120.00","Ground","Rock","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Rock Head","Protects the Pokemon from recoil damage.","Reckless","Powers up moves that have recoil damage.","50","50","Red / Blue / Yellow","0","2","0","0","0","0","60","Slow","1250000","170","70","105","130","120","45","45","40","Monster","Field","20","111","Level Up","Level 42","",""
"522","Blitzle","Electrified Pokemon","",".80","29.80","Electric","","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Motor Drive","Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","50","50","Black / White","0","0","0","0","0","1","190","Medium Fast","1000000","59","70","45","60","32","50","32","76","Field","","20","","","","",""
"523","Zebstrika","Thunderbolt Pokemon","","1.60","79.50","Electric","","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Motor Drive","Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","50","50","Black / White","0","0","0","0","0","2","75","Medium Fast","1000000","174","70","75","100","63","80","63","116","Field","","20","522","Level Up","Level 27","",""
"464","Rhyperior","Drill Pokemon","","2.40","282.80","Ground","Rock","Lightning Rod","The Pokemon draws in all Electric-type moves.  Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Solid Rock","Reduces the power of supereffective attacks taken.","Reckless","Powers up moves that have recoil damage.","50","50","Diamond / Pearl","0","3","0","0","0","0","30","Slow","1250000","241","70","115","140","130","55","55","40","Monster","Field","20","112","Trade","Holding The Protector","",""
"257-1","Blaziken","Blaze Pokemon","","1.90","52.00","Fire","Fighting","Speed Boost","Its Speed stat is boosted every turn","","","","","87.5","12.5","X / Y","0","3","0","0","0","0","45","Medium Slow","1059860","284","70","80","160","80","130","80","100","Field","","20","","","","257","Mega Evolution"
"291","Ninjask","Ninja Pokemon","",".80","12.00","Bug","Flying","Speed Boost","Its Speed stat is boosted every turn","","","Infiltrator","Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.","50","50","Ruby / Sapphire","0","0","0","0","0","2","120","Erratic","600000","160","70","61","90","45","50","50","160","Bug","","15","290","Level Up","Level 20","",""
"193","Yanma","Clear Wing Pokemon","","1.20","38.00","Bug","Flying","Speed Boost","Its Speed stat is boosted every turn","Compound Eyes","The Pokemon's compound eyes boost its accuracy.","Frisk","When it enters a battle, the Pokemon can check an opposing Pokemon's held item.","50","50","Gold / Silver / Crystal","0","0","0","0","0","1","75","Medium Fast","1000000","78","70","65","65","45","75","45","95","Bug","","20","","","","",""
"469","Yanmega","Ogre Darner Pokemon","","1.90","51.50","Bug","Flying","Speed Boost","Its Speed stat is boosted every turn","Tinted Lens","The Pokemon can use "not very effective" moves to deal regular damage.","Frisk","When it enters a battle, the Pokemon can check an opposing Pokemon's held item.","50","50","Diamond / Pearl","0","2","0","0","0","0","30","Medium Fast","1000000","180","70","86","76","86","116","56","95","Bug","","20","193","Level Up","Knowing Ancient Power","",""
"793","Nihilego","Parasite Pokemon","Ultra Beast","1.20","55.50","Rock","Poison","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","0","0","0","3","0","45","Slow","1250000","257","0","109","53","47","127","131","103","Undiscovered","","120","","","","",""
"794","Buzzwole","Swollen Pokemon","Ultra Beast","2.40","333.60","Bug","Fighting","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","1","2","0","0","0","45","Slow","1250000","257","0","107","139","139","53","53","79","Undiscovered","","120","","","","",""
"795","Pheromosa","Lissome Pokemon","Ultra Beast","1.80","25.00","Bug","Fighting","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","0","0","0","0","3","45","Slow","1250000","257","0","71","137","37","137","37","151","Undiscovered","","120","","","","",""
"796","Xurkitree","Glowing Pokemon","Ultra Beast","3.80","100.00","Electric","","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","0","0","3","0","0","45","Slow","1250000","257","0","83","89","71","173","71","83","Undiscovered","","120","","","","",""
"797","Celesteela","Launch Pokemon","Ultra Beast","9.20","999.90","Steel","Flying","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","1","1","1","0","0","45","Slow","1250000","257","0","97","101","103","107","101","61","Undiscovered","","120","","","","",""
"798","Kartana","Drawn Sword Pokemon","Ultra Beast",".30",".10","Grass","Steel","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","0","3","0","0","0","0","45","Slow","1250000","257","0","59","181","131","59","31","109","Undiscovered","","120","","","","",""
"799","Guzzlord","Junkivore Pokemon","Ultra Beast","5.50","888.00","Dark","Dragon","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Sun / Moon","3","0","0","0","0","0","45","Slow","1250000","257","0","223","101","53","97","53","43","Undiscovered","","120","","","","",""
"803","Poipole","Poison Pin Pokemon","Ultra Beast",".60","1.80","Poison","","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Ultra Sun / Ultra Moon","0","0","0","0","0","1","45","Slow","1250000","189","0","67","73","67","73","67","73","Undiscovered","","120","","","","",""
"804","Naganadel","Poison Pin Pokemon","Ultra Beast","3.60","150.00","Poison","Dragon","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Ultra Sun / Ultra Moon","0","0","0","3","0","0","45","Slow","1250000","243","0","73","73","73","127","73","121","Undiscovered","","120","803","Level Up","Knowing Dragon Pulse","",""
"805","Stakataka","Rampart Pokemon","Ultra Beast","5.50","820.00","Rock","Steel","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Ultra Sun / Ultra Moon","0","0","3","0","0","0","30","Slow","1250000","257","0","61","131","211","53","101","13","Undiscovered","","120","","","","",""
"806","Blacephalon","Fireworks Pokemon","Ultra Beast","1.80","13.00","Fire","Ghost","Beast Boost","The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.","","","","","0","0","Ultra Sun / Ultra Moon","0","0","0","3","0","0","30","Slow","1250000","257","0","53","127","53","151","79","107","Undiscovered","","120","","","","",""
"382","Kyogre","Sea Basin Pokemon","Legendary","4.50","352.00","Water","","Drizzle","The Pokemon makes it rain when it enters a battle.","","","","","0","0","Ruby / Sapphire","0","0","0","3","0","0","3","Slow","1250000","302","0","100","100","90","150","140","90","Undiscovered","","120","","","","",""
"382-1","Kyogre","Sea Basin Pokemon","","9.80","430.00","Water","","Primordial Sea","The Pokemon changes the weather to nullify Fire-type attacks.","","","","","0","0","Omega Ruby / Alpha Sapphire","0","0","0","3","0","0","3","Slow","1250000","347","0","100","150","90","180","160","90","Undiscovered","","120","","","","382","Primal"
"383-1","Groudon","Continent Pokemon","","5.00","999.70","Ground","Fire","Desolate Land","The Pokemon changes the weather to nullify Water-type attacks.","","","","","0","0","Omega Ruby / Alpha Sapphire","0","3","0","0","0","0","3","Slow","1250000","347","0","100","180","160","150","90","90","Undiscovered","","120","","","","383","Primal"
"384","Rayquaza","Sky High Pokemon","Legendary","7.00","206.50","Dragon","Flying","Air Lock","Eliminates the effects of the weather.","","","","","0","0","Ruby / Sapphire","0","2","0","1","0","0","45","Slow","1250000","306","0","105","150","90","150","90","95","Undiscovered","","120","","","","",""
"384-1","Rayquaza","Sky High Pokemon","","10.80","392.00","Dragon","Flying","Delta Stream","The Pokemon changes the weather to eliminate all of the Flying type's weaknesses.","","","","","0","0","Omega Ruby / Alpha Sapphire","0","2","0","1","0","0","45","Slow","1250000","351","0","105","180","100","180","100","115","Undiscovered","","120","","","","384","Mega Evolution"
"471","Glaceon","Fresh Snow Pokemon","",".80","25.90","Ice","","Snow Cloak","Boosts evasion in a hailstorm.","","","Ice Body","The Pokemon gradually regains HP in a hailstorm.","87.5","12.5","Diamond / Pearl","0","0","0","2","0","0","45","Medium Fast","1000000","184","35","65","60","110","130","95","65","Field","","35","133","Level Up","Around An Ice Rock","",""
"478","Froslass","Snow Land Pokemon","","1.30","26.60","Ice","Ghost","Snow Cloak","Boosts evasion in a hailstorm.","","","Cursed Body","May disable a move used on the Pokemon.","0","100","Diamond / Pearl","0","0","0","0","0","2","75","Medium Fast","1000000","168","70","70","80","70","80","70","110","Fairy","Mineral","20","361","Evolutionary Stone","Dawn Stone (Female)","",""
"27-1","Sandshrew","Mouse Pokemon","",".70","40.00","Ice","Steel","Snow Cloak","Boosts evasion in a hailstorm.","","","Slush Rush","Boosts the Pokemon's Speed stat in a hailstorm.","50","50","Sun / Moon","0","0","1","0","0","0","255","Medium Fast","1000000","60","70","50","75","90","10","35","40","Field","","20","","","","27","Alolan"
"28-1","Sandslash","Mouse Pokemon","","1.20","55.00","Ice","Steel","Snow Cloak","Boosts evasion in a hailstorm.","","","Slush Rush","Boosts the Pokemon's Speed stat in a hailstorm.","50","50","Sun / Moon","0","0","2","0","0","0","90","Medium Fast","1000000","158","70","75","100","120","25","65","65","Field","","20","27-1","Evolutionary Stone","Ice Stone In Alola","28","Alolan"
"37-1","Vulpix","Fox Pokemon","",".60","9.90","Ice","","Snow Cloak","Boosts evasion in a hailstorm.","","","Snow Warning","The Pokemon summons a hailstorm when it enters a battle.","25","75","Sun / Moon","0","0","0","0","0","1","190","Medium Fast","1000000","60","70","38","41","40","50","65","65","Field","","20","","","","37","Alolan"
"38-1","Ninetales","Fox Pokemon","","1.10","19.90","Ice","Fairy","Snow Cloak","Boosts evasion in a hailstorm.","","","Snow Warning","The Pokemon summons a hailstorm when it enters a battle.","25","75","Sun / Moon","0","0","0","0","0","2","75","Medium Fast","1000000","177","70","73","67","75","81","100","109","Field","","20","37-1","Evolutionary Stone","Ice Stone In Alola","38","Alolan"
"614","Beartic","Freezing Pokemon","","2.60","260.00","Ice","","Snow Cloak","Boosts evasion in a hailstorm.","Slush Rush","Boosts the Pokemon's Speed stat in a hailstorm.","Swift Swim","Boosts the Pokemon's Speed stat in rain.","50","50","Black / White","0","2","0","0","0","0","60","Medium Fast","1000000","177","70","95","130","80","70","80","50","Field","","20","613","Level Up","Level 37","",""
"613","Cubchoo","Chill Pokemon","",".50","8.50","Ice","","Snow Cloak","Boosts evasion in a hailstorm.","Slush Rush","Boosts the Pokemon's Speed stat in a hailstorm.","Rattled","Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.","50","50","Black / White","0","1","0","0","0","0","120","Medium Fast","1000000","61","70","55","70","40","60","40","40","Field","","20","","","","",""
"782","Jangmo-o","Scaly Pokemon","",".60","29.70","Dragon","","Bulletproof","Protects the Pokemon from some ball and bomb moves.","Soundproof","Soundproofing of the Pokemon itself gives full immunity to all sound-based moves.","Overcoat","Protects the Pokemon from things like sand, hail, and powder.","50","50","Sun / Moon","0","0","1","0","0","0","45","Slow","1250000","60","70","45","55","65","45","45","45","Dragon","","40","","","","",""
"783","Hakamo-o","Scaly Pokemon","","1.20","47.00","Dragon","Fighting","Bulletproof","Protects the Pokemon from some ball and bomb moves.","Soundproof","Soundproofing of the Pokemon itself gives full immunity to all sound-based moves.","Overcoat","Protects the Pokemon from things like sand, hail, and powder.","50","50","Sun / Moon","0","0","2","0","0","0","45","Slow","1250000","147","70","55","75","90","65","70","65","Dragon","","40","782","Level Up","Level 35","",""
"784","Kommo-o","Scaly Pokemon","","1.60","78.20","Dragon","Fighting","Bulletproof","Protects the Pokemon from some ball and bomb moves.","Soundproof","Soundproofing of the Pokemon itself gives full immunity to all sound-based moves.","Overcoat","Protects the Pokemon from things like sand, hail, and powder.","50","50","Sun / Moon","0","0","3","0","0","0","45","Slow","1250000","270","70","75","110","125","100","105","85","Dragon","","40","783","Level Up","Level 45","",""
"386","Deoxys","DNA Pokemon","Mythical","1.70","60.80","Psychic","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","","","0","0","Ruby / Sapphire","0","1","0","1","0","1","3","Slow","1250000","270","0","50","150","50","150","50","150","Undiscovered","","120","","","","",""
"386-1","Deoxys","DNA Pokemon","","1.70","60.80","Psychic","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","","","0","0","Fire Red","0","2","0","1","0","0","3","Slow","1250000","270","0","50","180","20","180","20","150","Undiscovered","","120","","","","386","Attack Forme"
"386-2","Deoxys","DNA Pokemon","","1.70","60.80","Psychic","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","","","0","0","Leaf Green","0","0","2","0","1","0","3","Slow","1250000","270","0","50","70","160","70","160","90","Undiscovered","","120","","","","386","Defense Forme"
"386-3","Deoxys","DNA Pokemon","","1.70","60.80","Psychic","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","","","0","0","Emerald","0","0","0","0","0","3","3","Slow","1250000","270","0","50","95","90","95","90","180","Undiscovered","","120","","","","386","Speed Forme"
"646","Kyurem","Boundary Pokemon","Legendary","3.00","325.00","Dragon","Ice","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","","","0","0","Black / White","1","1","0","1","0","0","3","Slow","1250000","297","0","125","130","90","130","90","95","Undiscovered","","120","","","","",""
"144","Articuno","Freeze Pokemon","Legendary","1.70","55.40","Ice","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Snow Cloak","Boosts evasion in a hailstorm.","0","0","Red / Blue / Yellow","0","0","0","0","3","0","3","Slow","1250000","261","35","90","85","100","95","125","85","Undiscovered","","80","","","","",""
"145","Zapdos","Electric Pokemon","Legendary","1.60","52.60","Electric","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Static","The Pokemon is charged with static electricity, so contact with it may cause paralysis.","0","0","Red / Blue / Yellow","0","0","0","3","0","0","3","Slow","1250000","261","35","90","90","85","125","90","100","Undiscovered","","80","","","","",""
"146","Moltres","Flame Pokemon","Legendary","2.00","60.00","Fire","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Flame Body","Contact with the Pokemon may burn the attacker.","0","0","Red / Blue / Yellow","0","0","0","3","0","0","3","Slow","1250000","261","35","90","100","90","125","85","90","Undiscovered","","80","","","","",""
"150","Mewtwo","Genetic Pokemon","Legendary","2.00","122.00","Psychic","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Unnerve","Unnerves opposing Pokemon and makes them unable to eat Berries.","0","0","Red / Blue / Yellow","0","0","0","3","0","0","3","Slow","1250000","306","0","106","110","90","154","90","130","Undiscovered","","120","","","","",""
"416","Vespiquen","Beehive Pokemon","","1.20","38.50","Bug","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Unnerve","Unnerves opposing Pokemon and makes them unable to eat Berries.","0","100","Diamond / Pearl","0","0","1","0","1","0","45","Medium Slow","1059860","166","70","70","80","102","80","102","40","Bug","","15","415","Level Up","Level 21 If Female","",""
"483","Dialga","Temporal Pokemon","Legendary","5.40","683.00","Steel","Dragon","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Telepathy","Anticipates an ally's attack and dodges it.","0","0","Diamond / Pearl","0","0","0","3","0","0","3","Slow","1250000","306","0","100","120","120","150","100","90","Undiscovered","","120","","","","",""
"484","Palkia","Spatial Pokemon","Legendary","4.20","336.00","Water","Dragon","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Telepathy","Anticipates an ally's attack and dodges it.","0","0","Diamond / Pearl","0","0","0","3","0","0","3","Slow","1250000","306","0","90","120","100","150","120","100","Undiscovered","","120","","","","",""
"487","Giratina","Renegade Pokemon","Legendary","4.50","750.00","Ghost","Dragon","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Telepathy","Anticipates an ally's attack and dodges it.","0","0","Diamond / Pearl","3","0","0","0","0","0","3","Slow","1250000","306","0","150","100","120","100","120","90","Undiscovered","","120","","","","",""
"243","Raikou","Thunder Pokemon","Legendary","1.90","178.00","Electric","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Inner Focus","The Pokemon's intensely focused, and that protects the Pokemon from flinching.","0","0","Gold / Silver / Crystal","0","0","0","1","0","2","3","Slow","1250000","261","35","90","85","75","115","100","115","Undiscovered","","80","","","","",""
"244","Entei","Volcano Pokemon","Legendary","2.10","198.00","Fire","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Inner Focus","The Pokemon's intensely focused, and that protects the Pokemon from flinching.","0","0","Gold / Silver / Crystal","1","2","0","0","0","0","3","Slow","1250000","261","35","115","115","85","90","75","100","Undiscovered","","80","","","","",""
"245","Suicune","Aurora Pokemon","Legendary","2.00","187.00","Water","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Inner Focus","The Pokemon's intensely focused, and that protects the Pokemon from flinching.","0","0","Gold / Silver / Crystal","0","0","1","0","2","0","3","Slow","1250000","261","35","100","75","115","90","115","85","Undiscovered","","80","","","","",""
"249","Lugia","Diving Pokemon","Legendary","5.20","216.00","Psychic","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Multiscale","Reduces the amount of damage the Pokemon takes when its HP is full.","0","0","Gold / Silver / Crystal","0","0","0","0","3","0","3","Slow","1250000","306","0","106","90","130","90","154","110","Undiscovered","","120","","","","",""
"250","Ho-Oh","Rainbow Pokemon","Legendary","3.80","199.00","Fire","Flying","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Regenerator","Restores a little HP when withdrawn from battle.","0","0","Gold / Silver / Crystal","0","0","0","0","3","0","3","Slow","1250000","306","0","106","130","90","110","154","90","Undiscovered","","120","","","","",""
"356","Dusclops","Beckon Pokemon","","1.60","30.60","Ghost","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Frisk","When it enters a battle, the Pokemon can check an opposing Pokemon's held item.","50","50","Ruby / Sapphire","0","0","1","0","1","0","90","Fast","800000","159","35","40","70","130","60","130","25","Amorphous","","25","355","Level Up","Level 37","",""
"477","Dusknoir","Gripper Pokemon","","2.20","106.60","Ghost","","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Frisk","When it enters a battle, the Pokemon can check an opposing Pokemon's held item.","50","50","Diamond / Pearl","0","0","1","0","2","0","45","Fast","800000","236","35","45","100","135","65","135","45","Amorphous","","25","356","Trade","Level Reaper Cloth","",""
"442","Spiritomb","Forbidden Pokemon","","1.00","108.00","Ghost","Dark","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Infiltrator","Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.","50","50","Diamond / Pearl","0","0","1","0","1","0","100","Medium Fast","1000000","170","70","50","92","108","92","108","35","Amorphous","","30","","","","",""
"461","Weavile","Sharp Claw Pokemon","","1.10","34.00","Dark","Ice","Pressure","By putting pressure on the opposing Pokemon, it raises their PP usage.","","","Pickpocket","Steals an item from an attacker that made direct contact.","50","50","Diamond / Pearl","0","1","0","0","0","1","45","Medium Slow","1059860","179","35","70","120","65","45","85","125","Field","","20","215","Level Up","Holding A Razor Fang At Night","",""
